2026-09-21 16:39:51,026 [INFO] Iniciando varredura recursiva em: C:\Users\heuder.sena\Downloads
2026-09-21 16:39:51,038 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\backend_dd4c78fb\pycache_87e72ac5\database_cpython_311_0b679b07.pyc
2026-09-21 16:39:51,039 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\backend_dd4c78fb\pycache_87e72ac5\database_cpython_312_7f5db2dd.pyc
2026-09-21 16:39:51,040 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\backend_dd4c78fb\pycache_87e72ac5\init_cpython_311_81bacbf7.pyc
2026-09-21 16:39:51,040 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\backend_dd4c78fb\pycache_87e72ac5\init_cpython_312_28b6cae2.pyc
2026-09-21 16:39:51,041 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\backend_dd4c78fb\pycache_87e72ac5\main_cpython_311_c972bcbf.pyc
2026-09-21 16:39:51,041 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\backend_dd4c78fb\pycache_87e72ac5\main_cpython_312_56806042.pyc
2026-09-21 16:39:51,041 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\backend_dd4c78fb\pycache_87e72ac5\models_cpython_311_8f5d6fb1.pyc
2026-09-21 16:39:51,042 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\backend_dd4c78fb\pycache_87e72ac5\models_cpython_312_f352d633.pyc
2026-09-21 16:39:51,042 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\backend_dd4c78fb\pycache_87e72ac5\schemas_cpython_311_6de0a4ca.pyc
2026-09-21 16:39:51,042 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\backend_dd4c78fb\pycache_87e72ac5\schemas_cpython_312_f0b92d9c.pyc
2026-09-21 16:39:51,043 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\backend_dd4c78fb\pycache_87e72ac5\seed_cpython_311_3e58a20a.pyc
2026-09-21 16:39:51,043 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\backend_dd4c78fb\pycache_87e72ac5\seed_cpython_312_5b4b5fa7.pyc
2026-09-21 16:39:51,044 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\backend_dd4c78fb\database_fb83ad9c.py
2026-09-21 16:39:51,044 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\backend_dd4c78fb\init_fe8bb4f5.py
2026-09-21 16:39:51,044 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\backend_dd4c78fb\main_b291a9a3.py
2026-09-21 16:39:51,044 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\backend_dd4c78fb\models_f9bcb558.py
2026-09-21 16:39:51,045 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\backend_dd4c78fb\schemas_c7494921.py
2026-09-21 16:39:51,045 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\backend_dd4c78fb\seed_fd003672.py
2026-09-21 16:39:51,045 [INFO] Já possui hash, ignorado: C:\Users\heuder.sena\Downloads\31_07_2026_8d7f9835\sistema_0e3723d5\backend_dd4c78fb\pycache_87e72ac5
